k = 2,k = 5,k = 10
126846.93568444173,118788.1238107575,114963.0910013997
137227.13456210133,116653.65298838654,117554.89711825456
123581.64400414051,119496.15700239848,119510.0668003553
116388.09738895946,121159.41164262497,119457.01565542984
119874.74484770116,118319.74016875161,121659.3012490834
128004.61205463894,119713.09651080158,120783.01891867227
133482.31711582094,122638.12107292416,119727.6630029302
127403.66489807419,115204.78193878285,115720.03035249186
122992.73434955352,119129.11440926554,118796.98467565286
119911.00306645507,126234.55936102069,118324.23385439871
121809.43172635286,118844.86717579584,115464.86641757216
133451.8138590189,122344.82409550626,121233.90927369849
124247.59483977754,118521.24152232337,122285.93157263072
117329.95932335453,124852.7137688701,118821.40389764518
130498.8125779691,118642.19578556911,120357.78078433927
133742.13734965373,120210.67013399638,119849.90278872766
125733.37395063555,126425.55424015941,118205.27549975153
137049.45760661722,117907.88771394124,120697.9927688012
125414.6843091482,121465.96799477837,120191.60294245109
130435.4195688433,121114.36380275045,118951.04590696932
130342.400417914,118439.12962173452,124053.29636799586
111286.43019222599,117671.52398448298,119578.69639756871
136736.68235051428,116040.48162143336,118597.99550247045
128301.17901075607,116604.73188691071,125522.54707960792
129097.24224614403,121822.29541099377,118908.19439133295
122082.7974441828,119399.42581273717,119025.808037259
118751.67639659345,117207.50413294396,120512.26206335805
124157.25662085517,122921.51949994014,122454.63256413199
131973.0217742476,121582.62177265363,116743.68261468499
124245.95340999658,120069.06509432702,118550.63506815373
